Relay URL,Latitude,Longitude
nostr-02.uid.ovh,50.9871,2.12554
nostr-relay.corb.net:443,39.6478,-104.988
inbox.scuba323.com,40.8218,-74.45
relay.bitmacro.cloud,43.6532,-79.3832
relay.samt.st,40.8302,-74.1299
relay.nexterz.com,43.6532,-79.3832
vault.iris.to,43.6532,-79.3832
relayone.soundhsa.com,39.0997,-94.5786
relay.satsapp.me,50.4754,12.3683
nostr.tabordalab.com,60.1699,24.9384
portal-relay.pareto.space,49.0291,8.35696
relay.sigit.io,50.4754,12.3683
relay.nostrmap.net,60.1699,24.9384
relay.earthly.city,34.1749,-118.54
temp.iris.to,43.6532,-79.3832
nostr-verified.wellorder.net,45.5201,-122.99
dm-test-nostr-rs-42-disabled.samt.st,43.6532,-79.3832
relay-us.zombi.cloudrodion.com,40.7862,-74.0743
relay-testnet.k8s.layer3.news,37.3387,-121.885
nostr.stakey.net:443,52.3676,4.90414
relay.littlebitstudios.com,43.6532,-79.3832
nostr.chaima.info:443,50.1109,8.68213
relay.chorus.community:443,48.5333,10.7
vault.iris.to:443,43.6532,-79.3832
relay.lanacoin-eternity.com,40.8302,-74.1299
nostrelay.circum.space,52.2245,8.826
relay.cyberguy.fyi,52.6907,4.8181
nostr.pbfs.io:443,50.4754,12.3683
rilo.nostria.app,43.6532,-79.3832
porchlight.social,43.6532,-79.3832
relay.nostrmap.net:443,60.1699,24.9384
nostr-relay.corb.net,39.6478,-104.988
relay.trotters.cc,43.6532,-79.3832
cache.trustr.ing,43.6548,-79.3885
nostr.hoppe-relay.it.com,42.8864,-78.8784
nostr.unkn0wn.world,46.8499,9.53287
syb.lol:443,34.0549,-118.243
nostr.tac.lol,47.4748,-122.273
nostr.robosats.org,64.1476,-21.9392
relay2.angor.io:443,48.1046,11.6002
relay.favillakey.io,-27.4705,153.026
relay.internationalright-wing.org,-22.4692,-48.9875
nostr.davenov.com,50.1109,8.68213
nostr.vulpem.com,49.4543,11.0746
bcast.girino.org,43.6532,-79.3832
relay.ohstr.com,43.6532,-79.3832
relay.erybody.com,41.4513,-81.7021
nostr.mikoshi.de,52.52,13.405
nostrelay.circum.space:443,52.2245,8.826
conduitl2.fly.dev,38.7946,-106.535
relay.froth.zone,60.1699,24.9384
nostr.mas-family.eu,60.3478,15.7505
relay.bitos.space,43.6532,-79.3832
relay.solife.me,43.6532,-79.3832
ec2.f7z.io,60.1699,24.9384
relay.edufeed.org,49.4521,11.0767
relay.satlantis.io,39.0438,-77.4874
relay.pocketnostr.com,40.8054,-74.0241
nostr.linky.fit,50.1109,8.68213
vm-1734.lnvps.cloud,53.3498,-6.26031
relay2.angor.io,48.1046,11.6002
nostr.rtvslawenia.com:443,49.4543,11.0746
schnorr.me:443,43.6532,-79.3832
budabit.nostr1.com,40.7057,-74.0136
relay.vectorchat.cloud,48.1046,11.6002
nostriches.club,43.6532,-79.3832
nostr.bond,50.1109,8.68213
relay.kaleidoswap.com,50.8476,4.35717
relay.scuba323.com,40.8218,-74.45
nostr.islandarea.net:443,35.4669,-97.6473
relay.aarpia.com,37.3986,-121.964
memlay.v0l.io,53.3498,-6.26031
relay.orly.dev,32.7767,-96.797
relay.mwaters.net,50.9871,2.12554
relay.agilesolutionlabs.com,43.6532,-79.3832
relay.nostrops.com,32.71,-96.6745
testr.nymble.world,40.8054,-74.0241
relay-rpi.edufeed.org:443,49.4521,11.0767
relay.getsafebox.app,43.6532,-79.3832
relay.nostu.be,40.4167,-3.70329
fanfares.nostr1.com,40.7057,-74.0136
cs-relay.nostrdev.com,50.4754,12.3683
relay.chatbett.de,40.7128,-74.006
relay.endfiat.money,59.3327,18.0656
relay.mostr.pub,43.6532,-79.3832
soloco.nl,43.6532,-79.3832
prl.plus,55.7628,37.5983
nostr-relay.nextblockvending.com,47.2343,-119.853
relay-can.zombi.cloudrodion.com,43.6532,-79.3832
nostr.purpura.cloud,43.6532,-79.3832
chat-relay.zap-work.com:443,43.6532,-79.3832
nostr.21crypto.ch,47.5356,8.73209
public.crostr.com:443,43.6532,-79.3832
testnet-relay.samt.st,40.8302,-74.1299
relay.mappingbitcoin.com,43.6532,-79.3832
tribune-panel-growing-noon.trycloudflare.com,43.6532,-79.3832
nostr.88mph.life,52.1941,-2.21905
maxq.descendant.io,43.6532,-79.3832
ribo.nostria.app:443,43.6532,-79.3832
r.iqbqioza.com,43.6532,-79.3832
relay.lacrypta.ar,43.6532,-79.3832
treuzkas.branruz.com,48.8575,2.35138
nrs-01.darkcloudarcade.com:443,39.0997,-94.5786
nos.lol:443,50.4754,12.3683
nostr.thebiglake.org,32.71,-96.6745
testnet.samt.st,43.6532,-79.3832
relay-rpi.edufeed.org,49.4521,11.0767
relay.nuts.cash,52.3676,4.90414
relay.nostr.com,50.1109,8.68213
bitcoinostr.duckdns.org,38.9504,-0.14007
nostr.pbfs.io,50.4754,12.3683
relay.getvia.xyz,60.1699,24.9384
nostr.snowbla.de,50.4754,12.3683
nostr.girino.org,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
rilo.nostria.app:443,43.6532,-79.3832
relay.agorist.space,52.3734,4.89406
relay.homeinhk.xyz,35.694,139.754
relay.novospes.com,43.6532,-79.3832
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
offchain.pub,39.1585,-94.5728
nostr.hifish.org,47.4009,8.57814
rele.speyhard.fi,50.1109,8.68213
relay.loveisbitcoin.com,43.6532,-79.3832
nostr-relay.cbrx.io,43.6532,-79.3832
relay.nostrian-conquest.com,41.223,-111.974
nostr.islandarea.net,35.4669,-97.6473
relay.staging.plebeian.market:443,51.5072,-0.127586
relay.nostrhub.fr,48.1045,11.6004
relay.piazza.today,48.122,11.589
nostr.spicyz.io:443,43.6532,-79.3832
nostr.sathoarder.com,48.5734,7.75211
nostr.spaceshell.xyz,43.6532,-79.3832
relay.yoinekodo.jp,43.6532,-79.3832
nostr-01.uid.ovh,50.9871,2.12554
nostr.mom,50.4754,12.3683
relay.mostro.network,40.8302,-74.1299
public.crostr.com,43.6532,-79.3832
wheat.happytavern.co,43.6532,-79.3832
relay.trotters.cc:443,43.6532,-79.3832
relay.plebeian.market,50.1109,8.68213
nostr.overmind.lol,43.6532,-79.3832
relay.libernet.app:443,43.6532,-79.3832
nostr.bitcoiner.social:443,40.7608,-111.891
bruh.samt.st,43.6532,-79.3832
relay.nostr.blockhenge.com,39.0438,-77.4874
relay.sharegap.net,43.6532,-79.3832
relay.satsmarkt.club,52.6907,4.8181
x.kojira.io:443,43.6532,-79.3832
relay.libernet.app,43.6532,-79.3832
relay.layer.systems:443,49.0291,8.35695
relay.bnos.space,43.6532,-79.3832
dev.relay.stream,43.6532,-79.3832
relay.damus.io,43.6532,-79.3832
nostr.2b9t.xyz:443,34.0549,-118.243
nostr.wecsats.io:443,43.6532,-79.3832
nostr.iskarion.ddns.net,43.3076,-2.95421
nostrride.io,37.3986,-121.964
relay.veganostr.com:443,60.1699,24.9384
articles.layer3.news:443,37.3387,-121.885
relay.gulugulu.moe,43.6532,-79.3832
relay.lanavault.space,60.1699,24.9384
ribo.us.nostria.app,43.6532,-79.3832
nostr.twinkle.lol,51.902,7.6657
relay.pyramid.li,47.4093,8.46503
relay.dreamith.to,43.6532,-79.3832
relay.underorion.se,50.1109,8.68213
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relay.otrta.me,50.1109,8.68213
relay.chorus.community,48.5333,10.7
nos.lol,50.4754,12.3683
nostr.computingcache.com,45.5341,-122.956
nostr.dlcdevkit.com,40.0992,-83.1141
relay.olas.app:443,60.1699,24.9384
relay.primal.net,43.6532,-79.3832
relay.plebeian.market:443,50.1109,8.68213
chorus.mikedilger.com:444,-36.8906,174.794
relay.openresist.com:443,43.6532,-79.3832
nostr.tac.lol:443,47.4748,-122.273
relay.nostx.io,43.6532,-79.3832
relay.minibolt.info,43.6532,-79.3832
infinity-signal-relay.digitalforlifeagency.workers.dev,43.6532,-79.3832
nostr.tagomago.me,42.3601,-71.0589
nostr.chaima.info,50.1109,8.68213
relay.nostr.net,43.6532,-79.3832
relay.cosmicbolt.net,37.3986,-121.964
x.kojira.io,43.6532,-79.3832
relay.fundstr.me,42.3601,-71.0589
relay.directsponsor.net,42.8864,-78.8784
relay.nmail.li,50.9871,2.12554
antiprimal.net,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
relay.lanacoin-eternity.com:443,40.8302,-74.1299
node.kommonzenze.de,49.4521,11.0767
nostrbtc.com,43.6532,-79.3832
nostr.data.haus,50.4754,12.3683
bendernostur.duckdns.org:8443,50.1109,8.68213
nostr.janx.com,43.6532,-79.3832
nostr-rs-relay.dev.fedibtc.com:443,39.0438,-77.4874
nostr-02.yakihonne.com,1.32123,103.695
relay.openresist.com,43.6532,-79.3832
purplerelay.com:443,43.6532,-79.3832
21milionidinostr.duckdns.org,45.5192,9.08625
relay.mypathtofire.de,42.8864,-78.8784
nostr.dlcdevkit.com:443,40.0992,-83.1141
offchain.bostr.online,43.6532,-79.3832
relay.agentry.com,42.8864,-78.8784
relay.vrtmrz.net:443,43.6532,-79.3832
nostrcheck.me,43.6532,-79.3832
relay.gulugulu.moe:443,43.6532,-79.3832
ynostr.yael.at,60.1699,24.9384
relay.paulstephenborile.com,49.4543,11.0746
dm-test-strfry-generic.samt.st,43.6532,-79.3832
relay.44billion.net,43.6532,-79.3832
nostr.stakey.net,52.3676,4.90414
nostr-relay.xbytez.io:443,50.6924,3.20113
nostr.nodesmap.com,59.3327,18.0656
no.str.cr,8.96171,-83.5246
relay.mmwaves.de:443,48.8575,2.35138
auth.nostr1.com,40.7057,-74.0136
nostr.mom:443,50.4754,12.3683
relay.islandbitcoin.com,12.8498,77.6545
relay.ru.ac.th,13.7607,100.627
nostr.oxtr.dev,50.4754,12.3683
relay.npubhaus.com,43.6532,-79.3832
relay-dev.gulugulu.moe,43.6532,-79.3832
staging.yabu.me,35.6092,139.73
relay.notoshi.win,13.3396,100.93
relay.fiatdenier.com,43.7787,-79.5393
nostr-relay.zimage.com,34.282,-118.439
relay.wisp.talk,49.4543,11.0746
ribo.eu.nostria.app,43.6532,-79.3832
talon.quest,43.6532,-79.3832
relay.nostrfeed.com,60.1699,24.9384
relay.sigit.io:443,50.4754,12.3683
bread.nostrsms.com,40.8218,-74.45
nostr.data.haus:443,50.4754,12.3683
nrs-01.darkcloudarcade.com,39.0997,-94.5786
nostr.hekster.org:443,37.3986,-121.964
strfry.apps3.slidestr.net,40.4167,-3.70329
ribo.nostria.app,43.6532,-79.3832
nostr.debate.report,50.1109,8.68213
mostro-p2p.tech,50.1109,8.68213
relay.olas.app,60.1699,24.9384
relay.fckstate.net,59.3293,18.0686
relay.illuminodes.com,43.6532,-79.3832
relay.hivetalk.org,40.8302,-74.1299
nostr.planix.org,43.6532,-79.3832
relay.mostr.pub:443,43.6532,-79.3832
relay.beamhop.com,43.6532,-79.3832
syb.lol,34.0549,-118.243
nostr.carroarmato0.be:443,50.914,3.21378
relay.bornheimer.app,50.1109,8.68213
relay.wavlake.com,41.2619,-95.8608
bitcoiner.social,40.7608,-111.891
relay.mccormick.cx,52.3563,4.95714
relay.zone667.com,60.1699,24.9384
relay.bullishbounty.com,43.6532,-79.3832
relay.edufeed.org:443,49.4521,11.0767
relay.nostreon.com,60.1699,24.9384
relay.paulstephenborile.com:443,49.4543,11.0746
relay.klabo.world,47.674,-122.122
nostrrelay.taylorperron.com,45.5029,-73.5723
adre.su,59.9311,30.3609
nostr2.girino.org:443,43.6532,-79.3832
relay.veganostr.com,60.1699,24.9384
relay.ditto.pub:443,43.6532,-79.3832
relay.sincensura.org,43.6532,-79.3832
relay.vrtmrz.net,43.6532,-79.3832
cs-relay.nostrdev.com:443,50.4754,12.3683
relay.keykeeper.world,40.7824,-74.0711
nostr.plantroon.com,50.1013,8.62643
relay.qstr.app,50.1109,8.68213
freelay.sovbit.host,60.1699,24.9384
nexus.libernet.app:443,43.6532,-79.3832
relay.tdw.lol,41.8781,-87.6298
nostr.whitenode45.ddns.net,40.55,-74.4758
nostr.wild-vibes.ts.net,48.8566,2.35222
relay.nearhood.co.uk,51.5134,-0.0890675
nostr.rtvslawenia.com,49.4543,11.0746
relay2.fiatdenier.com,50.1013,8.62643
nostr.relay.hedwig.sh,60.1699,24.9384
relayrs.notoshi.win:443,43.6532,-79.3832
no.str.cr:443,8.96171,-83.5246
relay.staging.commonshub.brussels,49.4543,11.0746
relay.angor.io,48.1046,11.6002
relay.bullishbounty.com:443,43.6532,-79.3832
relay.wellorder.net,45.5201,-122.99
nostr.4rs.nl,49.0291,8.35696
bucket.coracle.social,37.7775,-122.397
relay-na1.metanomalist.com,43.6532,-79.3832
nostr.azzamo.net:443,52.2633,21.0283
relay.ohstr.com:443,43.6532,-79.3832
relay.wavlake.com:443,41.2619,-95.8608
bunk-test.feeds.relay.tools,38.6327,-90.1961
nostr-pub.wellorder.net,45.5201,-122.99
ribo.us.nostria.app:443,43.6532,-79.3832
nostr.myshosholoza.co.za:443,52.3676,4.90414
nostr.hekster.org,37.3986,-121.964
strfry.shock.network,39.0438,-77.4874
nostr.bitcoiner.social,40.7608,-111.891
relayone.geektank.ai,39.0997,-94.5786
nostr.thalheim.io,60.1699,24.9384
relay.conduit.market,38.7946,-106.535
relay.nostriot.com,41.5695,-83.9786
bostr.azzamo.net,50.6924,3.20113
relay.ditto.pub,43.6532,-79.3832
relay.angor.io:443,48.1046,11.6002
top.testrelay.top,43.6532,-79.3832
dev-relay.nostreon.com,60.1699,24.9384
relay.flashapp.me,43.6548,-79.3885
strfry.shock.network:443,39.0438,-77.4874
bitchat.nostr1.com,40.7057,-74.0136
relay.s-w.art,43.6532,-79.3832
relay.shadowbip.com,50.1109,8.68213
relay-dev.gulugulu.moe:443,43.6532,-79.3832
nostrcity-club.fly.dev:443,38.7946,-106.535
nostr.sathoarder.com:443,48.5734,7.75211
dm-test-strfry-discovery.samt.st:443,43.6532,-79.3832
relay.decentralia.fr,48.122,11.589
social.amanah.eblessing.co,48.1046,11.6002
relayone.soundhsa.com:443,39.0997,-94.5786
relay.tdw.gg,34.0549,-118.243
schnorr.me,43.6532,-79.3832
relay.staging.plebeian.market,51.5072,-0.127586
relay.ordoplay.com,50.1109,8.68213
relay.mccormick.cx:443,52.3563,4.95714
relay.kilombino.com,43.6532,-79.3832
chat-relay.zap-work.com,43.6532,-79.3832
nostr.azzamo.net,52.2633,21.0283
slick.mjex.me,39.0418,-77.4744
relay.dyne.org,49.0291,8.35705
nostr.myshosholoza.co.za,52.3676,4.90414
fanfares.nostr1.com:443,40.7057,-74.0136
nostr.snowbla.de:443,50.4754,12.3683
relay.beginningend.com,35.2227,-97.4786
nostr-01.yakihonne.com,1.32123,103.695
nosflare-leefcore.leefcore.workers.dev,43.6532,-79.3832
relay.atsocy.com,43.6532,-79.3832
relay.lightning.pub,39.0438,-77.4874
relay.mitchelltribe.com:443,39.0438,-77.4874
relay1.nostrchat.io,60.1699,24.9384
testnet-relay.samt.st:443,40.8302,-74.1299
nostr.overmind.lol:443,43.6532,-79.3832
myvoiceourstory.org,37.3598,-121.981
relay.manneken.brussels,49.4543,11.0746
nostr-relay.xbytez.io,50.6924,3.20113
relay.cosmicbolt.net:443,37.3986,-121.964
relay.layer.systems,49.0291,8.35695
spamspamspamspam.rest,43.6532,-79.3832
articles.layer3.news,37.3387,-121.885
relay.mmwaves.de,48.8575,2.35138
relay.getsafebox.app:443,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
relay.nostr-check.me,43.6532,-79.3832
nexus.libernet.app,43.6532,-79.3832
public.obelisk.ar,43.6532,-79.3832
strfry.bonsai.com,39.0438,-77.4874
yabu.me,35.6092,139.73
insta-relay.apps3.slidestr.net,40.4167,-3.70329
